# x_m,y_m,w_tr_right_m,w_tr_left_m
890.1798534,1154.35559,5.216410208,3.593451998
888.3081179,1153.010472,5.211276849,3.583902923
886.4407458,1151.659452,5.185430281,3.567049878
884.577672,1150.302616,5.14711841,3.586141012
882.7188312,1148.940051,5.115986271,3.627163228
880.8641582,1147.571844,5.091921512,3.661202898
879.0135878,1146.198081,5.069195078,3.688368735
877.1670548,1144.818848,5.031410468,3.708769009
875.324494,1143.434232,5.00036388,3.722511585
873.4858401,1142.044319,4.975943356,3.729703962
871.6510281,1140.649196,4.958037376,3.757985443
869.8199926,1139.24895,4.94653482,3.806222336
867.9926685,1137.843666,4.941324934,3.848232675
866.1689905,1136.433432,4.931235463,3.884125229
864.3488936,1135.018333,4.89555316,3.914008417
862.5323123,1133.598457,4.861164923,3.937990349
860.7191816,1132.173889,4.774117675,3.961418088
858.9094363,1130.744717,4.692828331,3.984514045
857.1030111,1129.311026,4.617183697,4.108612847
855.2998408,1127.872904,4.54707101,4.238548992
853.4998602,1126.430436,4.477028773,4.285825464
851.7030042,1124.983709,4.399751881,4.340542768
849.9092075,1123.53281,4.327675103,4.449760607
848.1184049,1122.077825,4.260686484,4.53735147
846.3305311,1120.618841,4.197780962,4.608887345
844.5455211,1119.155944,4.12977451,4.671800636
842.7633096,1117.68922,4.066524189,4.727967981
840.9838313,1116.218757,4.007918927,4.778988333
839.2070212,1114.74464,3.953847913,4.823734537
837.4328139,1113.266956,3.894523044,4.864097792
835.6611443,1111.785791,3.836883538,4.900185854
833.8919471,1110.301233,3.783448527,4.932106351
832.1251572,1108.813367,3.734107804,4.969445408
830.3607093,1107.32228,3.688751358,5.018038238
828.5985383,1105.828059,3.648142818,5.062789039
826.8385789,1104.330789,3.624528195,5.103805498
825.080766,1102.830558,3.604568491,5.141195206
823.3250343,1101.327452,3.588154539,5.172938076
821.5713186,1099.821557,3.575177277,5.197957357
819.8195537,1098.31296,3.565527733,5.219671294
818.0696745,1096.801747,3.559097019,5.238187152
816.3216156,1095.288005,3.550482755,5.253612166
814.575312,1093.771821,3.541728251,5.26605355
812.8306983,1092.25328,3.535865974,5.2758672
811.0877094,1090.73247,3.532787232,5.282921871
809.3462801,1089.209476,3.532383387,5.287314555
807.6063452,1087.684386,3.534545848,5.289152457
805.8678395,1086.157285,3.539179824,5.288542795
804.1306977,1084.628261,3.546175326,5.284598364
802.3948547,1083.097399,3.555411595,5.266534882
800.6602453,1081.564787,3.566780178,5.246342663
